"PERIODO";"MES";"PAIS_DESTINO";"ARANCEL";"FOB_ITEM_US$";"PESO_BRUTO_KG";"CANTIDAD_MERCANCIA";"UNIDAD_MEDIDA"
"2016";"04";"ALBANIA";"33049910";5249,83;56,00;20,82;"KN"
"2016";"04";"ALEMANIA";"15161011";2910036,61;131936,00;121600,00;"KN"
"2016";"04";"ALEMANIA";"03049944";90124,90;23470,00;23010,00;"KN"
"2016";"04";"ALEMANIA";"02013000";458628,21;57619,53;53166,59;"KN"
"2016";"04";"ALEMANIA";"30049010";8654,30;203,17;137,00;"KN"
"2016";"04";"ALEMANIA";"82075010";7993,88;220,01;214,94;"KN"
"2016";"04";"ALEMANIA";"74031100";3021018,77;615823,00;615055,00;"KN"
"2016";"04";"ALEMANIA";"44123910";230086,06;416618,00;794,55;"MCUB"
"2016";"04";"ALEMANIA";"22042164";242630,78;110287,06;64278,00;"LT"
"2016";"04";"ALEMANIA";"08061059";1024828,18;809022,80;686921,70;"KN"
"2016";"04";"ALEMANIA";"08061019";374247,88;521505,30;444800,60;"KN"
"2016";"04";"ALEMANIA";"90189090";51520,63;140,01;22,00;"U"
"2016";"04";"ALEMANIA";"39231090";765,05;0,25;0,25;"KN"
"2016";"04";"ALEMANIA";"90223000";19424,34;79,57;1,00;"U"
"2016";"04";"ALEMANIA";"85024000";2040,14;1269,16;1,00;"U"
"2016";"04";"ALEMANIA";"08109099";43547,82;6740,00;4927,50;"KN"
"2016";"04";"ALEMANIA";"08062010";43529,58;21527,00;20500,00;"KN"
"2016";"04";"ALEMANIA";"08119040";25040,20;24866,60;23496,00;"KN"
"2016";"04";"ALEMANIA";"85439000";2289,20;33,33;25,63;"KN"
"2016";"04";"ALEMANIA";"47032910";2241958,26;5064486,00;4971912,00;"KN"
"2016";"04";"ALEMANIA";"85442000";36,38;0,16;0,12;"KN"
"2016";"04";"ALEMANIA";"22042166";485,00;91,53;45,00;"LT"
"2016";"04";"ALEMANIA";"22082090";142203,16;21900,00;25000,00;"LT"
"2016";"04";"ALEMANIA";"84806000";18201,38;11622,97;8709,98;"KN"
"2016";"04";"ALEMANIA";"85285111";2412,03;9,97;3,00;"U"
"2016";"04";"ALEMANIA";"84314190";53147,39;2794,00;2403,00;"KN"
"2016";"04";"ALEMANIA";"13021910";26250,00;1620,00;1500,00;"KN"
"2016";"04";"ALEMANIA";"44201090";280,00;4,00;2,80;"KN"
"2016";"04";"ALEMANIA";"26030000";32019209,45;27964560,00;27964560,00;"KN"
"2016";"04";"ALEMANIA";"85437090";814,69;17,60;1,00;"U"
"2016";"04";"ALEMANIA";"08134099";54734,53;5830,00;5500,00;"KN"
"2016";"04";"ALEMANIA";"39235010";42338,78;2307,00;2003,00;"KN"
"2016";"04";"ALEMANIA";"71171100";207,00;4,00;2,40;"KN"
"2016";"04";"ALEMANIA";"22042151";21307,77;10347,00;5850,00;"LT"
"2016";"04";"ALEMANIA";"28100020";95003,00;171540,00;171000,00;"KN"
"2016";"04";"ALEMANIA";"39239090";14832,02;14955,75;10355,75;"KN"
"2016";"04";"ALEMANIA";"84149000";399996,72;301,00;298,00;"KN"
"2016";"04";"ALEMANIA";"90330000";1786,50;123,44;120,70;"KN"
